placa,marcaModelo,corMilhar,ano,art,dataInfracao
2888-NGP,HONDA/CG 125 FAN,PRETA/1978,07/08,155,02/08
2914-JYM,HONDA CG 125 TITAN,AZUL/5873,06/06,155,13/05
2921-KET,HONDA/CG 125 TITAN ES,AZUL/0086,02/03,155,29/05
2926-NFT,R/PRESIDENTE,AZUL/8556,96/97,155,05/05
2965-KBZ,REBOQUE MURARO,VERME/3215,04/04,155,28/05
2974-KEE,VW/GOL 16V TURBO,AZUL/9753,00/01,155,14/01
2A36-ONL,HONDA/ CG 150 FAN,VERM/1358,13/14,155,12/01
2C06-KEE,HONDA/CG 125 TITAN ES,VERDE/0794,1/1,155,29/08
2C27-KAZ,GM CHEVROLET A10,BEGE/9394,81/81,155,15/04
2D16-NKJ,HONDA/CG 125 FAN KS,VERM/1412,09/10,155,04/02
2D24-RCD,HONDA/CG 160 TITAN,AZUL/2137,20/20,155,14/03
2D70-NKF,FORD/ECOSPORT XLT 1.6,PRETA/9099,08/08,155,29/07
2E14-BBR,FORD/ KA SE 1.0 SD,BRANC/9333,17/18,157,24/01
2E18-OOC,HONDA/CG 150 FAN ESDI,PRETA/4244,14/15,155,05/10
2E65-RBV,R/ISIDOC CIA 501 REB,CINZA/7049,20/20,155,18/07
2F45-MWL,HONDA/ CG 125 FAN,PRETA/0874,08/08,155,09/01
2G56-KCX,HONDA/ C100 DREAM,VERM/5009,96/96,155,06/09
2I26-NVP,HONDA/CG 125 FAN,VERM/9086,10/10,155,23/12
2I43-NGQ,YAMAHA/YBR 125 ED,PRETA/7181,07/07,155,22/09
3036-NGK,GM / CELTA 2P LIFE,PRATA/5116,07/08,155,28/12
3131-NLO,I/WUYANG WY 150,VERM/0060,07/08,155,31/07
3148-AJU,HONDA / C100 BIZ,PRETA/8220,01/01,155,27/12
3151-NWD,GM/CORSA HATCH MAXX,PRETA/9347,10/11,155,08/08
3196-NFR,HONDA/CG TITAN KS,VERM/5408,05/06,155,27/02
3207-PRF,HONDA/BIZ 125,LARAN/1115,17/18,155,06/02
3211-NKN,HONDA/CG 150 TITAN KS,CINZA/1531,1989,157,08/12
3232-NLS,HONDA/ CG 125 FAN ES,PRETA/1388,09/09,155,05/09
3262-KCV,FIAT/PALIO EL,PRETA/2712,08/08,155,16/03
3264-NKZ,YAMAHA/ YBR 125K,VERM/3734,08/08,155,06/04
3293-NFD,HONDA/C100 BIZ,VERM/1096,03/04,155,09/09
3308-KCH,VW/BRASILIA,VERDE/5668,78/78,155,27/09
3331-PQO,FORD/F350 P,VERME/4878,00/00,155,14/02
3332-PQX,HONDA / BIZ 125,PRATA/4914,19/19,155,10/03
3342-NVR,HONDA/XRE 300,PRETA/5804,10/10,155,04/03
3348-PRR,HONDA/ CG 160 FAN,VERM/5950,18/19,155,01/02
3362-OGO,HONDA/CG 125 FAN ES,VERM/0721,99/99,155,27/05
3368-NGM,HONDA/CG 125 FAN,VERM/4148,44018,155,05/09
3371-AVI (GYN),VW / JETTA 2.0,PRETA/2353,12/13,155,06/04
3384-KEX,HONDA/ CG 125 TITAN ES,AZUL,03/03,155,17/10
3385-PRV,SR/RANDON,PRETA/5049,18/18,155,15/05
3399-NFH,VOLVO/FH 400 6X2T,BRANCA,07/07,168,14/12
3406-MXF,HONDA/CG 125 FAN KS,PRETA/2641,12/12,155,09/04
3442-JTJ,GM/MONZA SL/E,PRETA,86/87,155,11/02
3442-NGX,HONDA/CG TITAN 150 (SILVANIA),PRATA/6281,07/07,157,27/03
3445-NWN,R/PRESIDENTE TRA CARGA1,CINZA/1991,11/11,155,31/05
3456-NWN,HONDA/ CG 125 FAN KS,ROXA,11/11,155,20/07
3477-ONV,YAMAHA/ YBR 125 FACTOR,PRETA/9272,13/14,155,13/10
3480-KAG,HONDA C100 BIZ ES,PRETA/7582,05/05,155,23/05
3495-GRS,HONDA/ CG 125 TITAN,CINZA,96/96,155,15/12
3522-OAW (MT),VW/ POLO CL AD,CINZA/5624,96/96,155,14/12
3537-NLU,FIAT/PALIO ELX,PRATA/9646,10/10,155,12/04
3593-NKR,YAMAHA/YBR 125K,VERM/7341,8/8,155,16/12
3631-NFJ,HONDA/C100 BIZ,VERM/0137,04/05,155,30/09
3636-HDG,FORD/F350 G,CINZA/1572,96/97,155,19/02
3639-BIW,FORD/F4000,BRANCA/5899,81/81,155,12/06
3646-JDY,VW APOLLO GL,BRANCA/0691,05/05,155,09/03
3656-PQA,R/FEDERAL JET,VERDE/9169,15/15,155,12/03
3667-HSI,HONDA/CIVIC LXS,PRATA/2370,06/07,155,03/01
3687-NGX,HONDA /CG 150 TITAN ESD,VERME/0817,07/08,155,28/12
3688-HWI,M. BENZ/L 1113,AZUL/5752,72/72,155,21/05
3695-NFN,HONDA CG 150 TITAN KS,VERME/2088,04/05,155,08/07
3725-NFX,BMW/X1 SDRIVE 1.8 VL31,PRETA/4141,10/11,157,17/1
3771-KEZ,FIAT/PALIO WEEKEND ELX,PRETA/2552,08/08,155,22/04
3786-QXG,CHEV/ONIX PLUS 10TAT LTZ,PRETA/9488,19/20,155,28/04
3789-KCQ,FIAT/UNO CS 1.5,CINZA/7173,92/93,155,20/09
3799-PRH,HONDA XRE/190,PRATA/3513,19/19,155,23/06
3802-ONF,HONDA/CG 125 FAN KS,VERM/3842,13/13,155,27/09
3826-NKV,HONDA/CG 125 FAN ES,VERM/0042,09/10,155,08/08
3856-HBT (SP),HONDA/CG 150 TITAN,PRATA/7771,03/03,155,21/10
3860-PZK,GM/ONIX 1.0 MT JOY,BRANCA,17/18,155,09/03
3866-KDT,HONDA/ C 100 BIZ,AMARELA/2261,98/98,155,16/09
3870-LCK,VW/GOL SPECIAL,CINZA/4672,98/99,155,29/04
3872-JJT,HONDA/CG 125 FAN ES,AZUL/4569,09/09,155,03/11
3873-KDI,VW/GOL S,CINZA/5256,84/85,155,07/04
3879-NFR,HONDA/ C100 BIZ,PRATA/0325,04/05,155,25/1
3894-OGJ,HONDA/BIZ 125 ES,VERM/9606,12/12,155,16/08
3913-NSK,HONDA/CG 150 TITAN ES,BRANCA/0412,17/18,155,09/03
3916-PQZ,HYUNDAI/HB20 1.6A COMF,BRANCA,16/17,155,09/12
3937-NKH,HONDA/CG 125 FAN (GOIANAPOLIS),PRETA/7493,08/08,155,03/07
3987-QTO (GOIANIA),TOYOTA/HILUX SDSRV,PRETA/8087,19/20,155,09/04
3995-PRX,R/ISIDOC CIA 501 (REBOQUE),PRATA/7014,18/18,155,02/11
3A23-PRZ,HONDA/ CG 160 TITAN,PRETA/2551,18/18,157,04/07
3B00-QUO,FIAT / FIORINO HD WKE,BRANCA/1083,19/20,155,03/01
3B87-NFU,HONDA/CG125FAN,VERM/5178,05/05,155,16/03
3C07-PRF,HONDA/BIZ 125,LARAN/1115,17/18,155,16/07
3C23-NLO,R/ MILLENIUM,PRETA/3044,10/10,155,28/11
3C31-BTT,M.BENZ/LS1934,BRANC/4257,88/89,155,06/10
3C92-NDN,HONDA/CG 160 TITAN,AZUL/3647,19/19,155,19/03
3D35-HEJ,MMC/L200 4x4 GLS,PRATA/5867,06/07,155,08/08
3D60-RUA,HYNDAI/HB20 10M EV,BRANCA/8408,22/22,155,03/02
3F35-PVT,VOLVO/VM 270 8X2R,BRANCA/3978,15/15,155,13/09
3G36-KFC,FORD/F4000,PRATA/8145,00/00,155,31/1
3G58-ONS,TOYOTA/ HILUX CD 4X4,PRATA/0789,14/15,155,08/09
3G59-ONH,HONDA CG/150 FAN,VERM/5163,15/15,155,17/10
3I10-HGN,HONDA/BIZ 125 KS,PRETA/6115,07/08,155,15/09
3J20-NWJ,HONDA BIZ 125 ES,VERM/0342,10/10,155,16/07
4054-KDL,HONDA/CG 125 TITAN,AZUL/7994,98/98,155,14/03
4070-KEU,HONDA/C100 BIZ ES,VERM/1567,01/01,155,17/03
4071-OMJ,HONDA/CG125 FAN KS,VERM/4464,12/13,155,18/12
4073-OOD,I/TOYOTA HILUX CD4X4 SRV,BRANCA,14/14,157,14/10
4078-PEG,TOYOTA/COROLLA XEI20FLEX,PRETA,11/12,155,23/04
4101-NGV,YAMAHA / YBR 125,PRETA/4071,11/12,155,23/04
4112-PQF,HONDA/NXR160 BROS,VERM/7833,10/10,155,15/06
4125-PRV,R/ISIDOC CIA501 REBOQUE,CINZA/8616,18/18,155,09/02
4150-NGG,GM / CORSA SEDAN JOY,PRATA/5616,06/07,155,23/06
4163-NVO,HONDA/CG 150 FAN ESI,VERME/6525,07/07,155,26/02
4170-KEY,HONDA/CG 125 TITAN ES,VERME/5718,10/10,155,30/06
4172-OMX,R/ RHEMA KARAJA,PRETA/7544,06/06,155,01/05
4187-JFY,VW/GOL 1.0,PRATA/0580,00/01,155,29/11
4258-OMT,HONDA/ NXR 150 BROS,VERM/4336,14/14,157,13/10
4294-GMI,GM/ MONZA SL/E,VERM/4548,02/03,155,06/04
4303-KCL,HONDA/ CG TITAN 125,VERM,95/95,155,27/02
4308-KBQ,VW/ VOYAGE CL 1.8,CINZA/0276,94/94,155,29/03
