placa,descricao
7824-JJX,HONDA/CG 150 TITAN KS VERM MILHAR 4090 2004/2004 PROVAVEL MOTO UTILIZADA EM 121
7948-NGN (GYN),VW/POLO 1.6 BEGE 07/08 VEICULO LEVADO DE 171 - VITIMA PM DE GOIANIA
8043-OGX,PLACA DE MOTO FURTADA PODENDO SER UTILIZADA EM ALGUM CARATER
8202-JKE (DF),COROLLA 12/13 PRATA LEVADAS PLACAS DE VEICULO ABANDONADO
8422-DCB,VW/GOLF PRATA 01/02 POSSIVEL AUTOR DE SEQUESTRO
8509-JKN (DF),FIAT SIENA ESSENCE 1.6 PRATA 14/14 MILHAR 3432 - POSSIVEL DOBRA RODANDO NA CIDADE
8700-JHV,HYUNDAI / I30 PRATA 2011 MILHAR 4956 PLACA DF - USADO PARA PRATICA DE 157
8750-DWQ,FIAT/PALIO FIRE CINZA 08/08 - INDIVIDUO ARMADO VISTO NO COPACANA
9181-JKB (DF),VW/GOL 1.0 G IV BRANCA/4379 ANO 12/13 - TOMADO DE 157 NO DF - FOI VISTO EM ANAPOLIS
9183-DCQ,FIAT/PALIO 01/02 VERMELHO 155 CASA IRMAO SGT LUIS CARLOS
9350-PQK,I/TOYOTA HILUX CDSRVA4FD CINZA 18/18 TEVE SUA PLACA FURTADA NO DIA 10/07
9388-QTO,AMAROK V6 BRAN/6245 ANO 19/19 PLACA DE GOIANIA - VEICULO UTILIZADO NA FUGA DO PRESIDIO
9573-NKP,YAMAHA/YBR PRATA 2008 157 POSTO DO ROMEIROS
9748-KES,GM/S10 EXECUTIVE 02/02 COR CINZA TEVE SUA PLACA FURTADA
9816-ORK,SAVEIRO CROSS (ANO14/15) COR LARANJA TEVE SUAS PLACAS FURTADAS NO BAIRRO JUNDIAI
9888-HFU,FIAT / PUNTO ELX 1.4 08/08 PRETA POSSIVELMENTE UTILIZADO EM ROUBOS DE CARGA ANAPOLIS
9925-PAV (MG),FIAT/ARGO DRIVE 1.0 BRANCA 17/18 MILHAR4928 POSSIVEL CLONE EM ANAPOLIS PRATICANDO 157
9992-PRX,HONDA/BIZ 125 VERM. 19/19 - INDIVIDUO PRATICANDO 157
9A27-RBU,FIAT/ARGO DRIVE PRETO 20/21 - POSSIVEL CLONE RODANDO NA CIDADE
9A29-QHZ,TOYOTA HILUX SWSR - BRANCA/0752 - ANO 16/17 - ROUBADA EM URUAÇU - VISTO EM ANAPOLIS
9E15-NLG,PLACA CB 300/ PRETA FURTADA
MOTO SEM PLACA,HONDA/ BROZ COR VERMELHA - DOIS INDIVIDUOS NA PRATICA DE 157
S/PLACA,VW VOYAGE PRATA - Praticaram 157 na regiao da Jaiara (modelo antigo - lanterna traseira direita queimada e roda preta)
S/PLACA,VW VOYAGE PRETO - Dois individuos balearam um outro na fabril (Modelo Novo)
XX16-QVH (PROVAVEIS INICIAIS),FIAT/ PALIO FIRE UTIIZADO PARA PRATICA DE 157 BAIRRO SAO JOAO - INDIVIDUOS ARMADOS (UM DELES RUIVO)
XXXX-XXX,BIZ C100 DE COR PRATA - RODA PRETA - MODELO MAIS ANTIGA - INDIVIDUO NA PRATICA DE ROUBO
XXXX-XXX,GOL BOLA G2 COR BRANCA PRATICOU 157 A MOTORISTA DE APP DE DELIVERY NA REGIAO DA FABRIL
XXXX-XXX,CORSA PRATA SEDAN COM PINTURA QUEIMADA - PRATICOU 157 ARCO VERDE E BALEOU A VITIMA
XXXX-XXX,CORSA HATCH COR PRATA (RODAS DE ALUMINIO - PARACHOQUES PRETO) UTILIZADO PARA A PRATICA DE 157 EM NEROPOLIS
S/PLACA,YAMAHA CRYPTON CINZA - FOI ROUBADA NA JAIARA. NAO POSSUI PLACA. FOI UTILIZADO UM GOL G5 CINZA
S/PLACA,GOL G3 COR BEGE COM CAPA PRETO - PRATICOU 157 C/ ARMA DE FOGO DIA 16/10 R. DINAMARCA BOA VISTA
S/PLACA,PEUGEOT 206/SELECTION VERM. 02/02 FOI UTILIZADO PARA PRATICA DE 157 NO JK
S/PLACA,HILUX BRANCA COM INDIVIDUOS DE SP/ COMETER HOMICIDIO CONTRA AGENTE SEGURANÇA PUBLICA
S/PLACA,ONIX PRATA-02 INDIVIDUOS 157 RESIDENCIAL DO TRABALHADOR
S/PLACA,Escorte europeu 4 portas cor vinho amassado na frente - furto de baterias em Neropolis
S/PLACA,Novo Fiesta Branco - placa Mercosul - 157 Pizzaria na avenida JK
S/PLACA,MOTO PRETA - Paralama branco 157 no posto ALE av. Brasil
6J33-OBV,TOYOTA/COROLLA PRATA 12/13 - VEICULO LEVADO DE 171
2374-NLS,HONDA CB300R AMARELA 09/10 - LEVADA DE APROPRIACAO IND. - SENDO UTILIZADA PARA FURTO DE OUTROS VEICULOS
